genbank	locusName	geneID
XM_015901592.1	LOC107336520	107336520
XM_015917503.1	LOC107351207	107351207
XM_015898233.1	LOC107333418	107333418
XM_015921319.1	LOC107354824	107354824
XM_015899365.1	LOC107334428	107334428
XM_015901647.1	LOC107336579	107336579
XM_015911281.1	LOC107345559	107345559
XM_015894941.1	LOC107330307	107330307
XM_015892755.1	LOC107328039	107328039
XM_015894226.1	LOC107329545	107329545
XM_015902784.1	LOC107337579	107337579
XR_001565912.1	LOC107350680	107350680
XM_015897399.1	LOC107332664	107332664
XM_015902122.1	LOC107337009	107337009
XM_015920446.1	LOC107354048	107354048
XM_015902864.1	LOC107337654	107337654
XM_015911553.1	LOC107345803	107345803
XM_015905051.1	LOC107339745	107339745
XM_015898527.1	LOC107326863	107326863
XM_015906414.1	LOC107341010	107341010
XM_015908986.1	LOC107343419	107343419
XM_015906523.1	LOC107341101	107341101
XM_015912494.1	LOC107346686	107346686
XR_001563840.1	LOC107341854	107341854
XR_001566550.1	LOC107353235	107353235
XM_015899163.1	LOC107334234	107334234
XM_015910824.1	LOC107345122	107345122
XR_001564439.1	LOC107344493	107344493
XR_001562861.1	LOC107337694	107337694
XM_015896761.1	LOC107332008	107332008
XM_015891893.1	LOC107327141	107327141
XM_015899379.1	LOC107334438	107334438
XM_015911936.1	LOC107346165	107346165
XR_001566745.1	LOC107354052	107354052
XR_001566318.1	LOC107352380	107352380
XM_015903758.1	LOC107338521	107338521
XM_015908594.1	LOC107343052	107343052
XR_001565924.1	LOC107350728	107350728
XM_015901239.1	LOC107336176	107336176
XM_015918833.1	LOC107352504	107352504
XM_015902058.1	LOC107336952	107336952
XM_015896775.1	LOC107332051	107332051
XM_015916320.1	LOC107350094	107350094
